Year,ID,MapID,Input,Original_revised_to_uniform_VVL,MapID_Source.Local_Alias,Units,TrimRevisedOriginal,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,QC_accrued,QC1,QCplus_minus,QC2,QC_tally,QC3
1979,197916,2003,-,-River Loss: Cally. Weir to River Canal Weir,River Loss: Cally. Weir to River Canal Weir,AF,River Loss: Cally. Weir to River Canal Weir,4694,5414,2694,5388,4018,3341,1009,2430,5260,3216,4332,4030,45826,45826,TRUE,-45826,,29931,TRUE
1979,197917,1070,=,=River Canal Weir,Flow at Coffee Rd,AF,River Canal Weir,2195,6053,2386,12626,4014,0,0,0,636,16,831,1174,29931,29931,TRUE,=29931,TRUE,29931,
1979,197918,,+,+Pioneer Turnout,Pioneer Turnout,AF,Pioneer Turnout,5002,2247,6002,2285,1977,4627,8184,6653,623,129,216,32,37977,37977,TRUE,+37977,,67908,
1979,197919,1071,+,+CVC T.O. #2 to River,CVC T.O. #2 to River,AF,CVC T.O. #2 to River,0,0,0,0,1652,4525,4487,10603,3238,1803,2564,3380,32252,32252,TRUE,+32252,,100160,
1979,197920,1073,-,-Rosedale Channel at Head,Rosedale Channel Diversion,AF,Rosedale Channel at Head,2436,793,3084,7238,2168,1033,1103,1049,0,0,0,0,18904,18904,TRUE,-18904,,81256,
1979,197921,1072,-,-Pioneer Canal at Head,Pioneer Canal at Head,AF,Pioneer Canal at Head,948,803,2253,549,1704,5699,8420,7968,1658,908,801,1091,32802,32802,TRUE,-32802,,48454,
1979,197922,2004,-,-River Loss: River Canal to Bellevue Weir,River Loss: River Canal to Bellevue Weir,AF,River Loss: River Canal to Bellevue Weir,1361,2206,1339,1570,1157,562,865,2783,786,480,1152,1672,15933,15933,TRUE,-15933,,32521,TRUE
1979,197923,1080,=,=Flow at Bellevue Weir Stockdale,Flow at Riverwalk Park Bridge,AF,Flow at Bellevue Weir Stockdale,2452,4498,1712,5554,2614,1858,2283,5456,2053,560,1658,1823,32521,32521,TRUE,=32521,TRUE,32521,
1979,197924,,+,+CVC T.O. #1 to River,CVC T.O. #1 to River,AF,CVC T.O. #1 to River,0,0,0,0,0,3032,930,0,3985,9887,12452,2589,32875,32875,TRUE,+32875,,65396,
1979,197925,,+,+Pioneer Flow to River,Pioneer Flow to River,AF,Pioneer Flow to River,0,0,0,0,0,726,1510,1417,405,710,1762,1742,8272,8272,TRUE,+8272,,73668,
1979,197926,,-,-2800 Acre Percolation and Spreading,2800 Acre Percolation and Spreading,AF,2800 Acre Percolation and Spreading,2452,4498,1712,5554,2614,5616,4723,6873,6443,11157,15817,6035,73494,73494,TRUE,-73494,,174,TRUE
1979,197927,1091,=,=Second Point via Kern River Channel,Second Point via Kern River Channel,AF,Second Point via Kern River Channel,0,0,0,0,0,0,0,0,0,0,55,119,174,174,TRUE,=174,TRUE,174,
1980,198001,1001,+,+Kern River at First Point of Measurement,Flow at Hart Park First Point,AF,Kern River at First Point of Measurement,55976,81590,157503,185089,167415,194134,238716,200338,107200,82893,61644,28838,1561336,1561336,TRUE,+1561336,,+1561336,
1980,198002,2001,-,-Computed Loss,Computed Loss,AF,Computed Loss,676,633,676,655,676,655,676,676,655,676,655,676,7985,7985,TRUE,-7985,,1553351,
1980,198003,1010,-,-Beardsley Canal at Head,Beardsley Diversion,AF,Beardsley Canal at Head,7232,16786,25973,33255,34978,41762,49331,42655,23542,20828,25610,14672,336624,336624,TRUE,-336624,,1216727,
1980,198004,1020,-,-Carrier Canal at Head,Carrier Diversion,AF,Carrier Canal at Head,30429,38914,52415,51864,51961,53512,57231,51167,28413,20961,25218,13490,475575,475575,TRUE,-475575,,741152,TRUE
1980,198005,1030,=,=Rocky Point Weir,Flow at PVP,AF,Rocky Point Weir,17639,25257,78439,99315,79800,98205,131478,105840,54590,40428,10161,0,741152,741152,TRUE,=741152,TRUE,741152,
1980,198006,1031,+,+Carrier Waste Gate,Carrier Waste Gate,AF,Carrier Waste Gate,8906,12599,10982,7702,11746,958,3298,2937,2937,1654,0,1547,65266,65266,TRUE,+65266,,806418,
1980,198007,1032,+,+Farmers-Stine-Anderson: to River,Farmers-Stine-Anderson: to River,AF,Farmers-Stine-Anderson: to River,89,762,0,129,0,0,0,0,1652,6717,11355,0,20704,20704,TRUE,+20704,,827122,
1980,198008,1033,-,-Farmers-Stine-Anderson: from River,Farmers-Stine-Anderson: from River,AF,Farmers-Stine-Anderson: from River,6395,12292,18083,14707,7972,8935,19603,18619,5795,0,1059,0,113460,113460,TRUE,-113460,,713662,
1980,198009,1040,-,-Calloway Canal at Head,Calloway Diversion,AF,Calloway Canal at Head,7535,7801,10651,21382,24010,17992,28171,24908,19978,10518,877,450,174273,174273,TRUE,-174273,,539389,
1980,198010,2002,-,-River Loss: Rocky Point to Calloway Weir,River Loss: Rocky Point to Calloway Weir,AF,River Loss: Rocky Point to Calloway Weir,2323,2685,1556,1283,834,791,563,544,710,712,452,373,12826,12826,TRUE,-12826,,526563,TRUE
1980,198011,1050,=,=Calloway River Weir,Flow at Riverview Park,AF,Calloway River Weir,10381,15840,59131,69774,58730,71445,86439,64706,32696,37569,19128,724,526563,526563,TRUE,=526563,TRUE,526563,
1980,198012,1051,+,+CVC T.O. #4 to River,CVC T.O. #4 to River,AF,CVC T.O. #4 to River,2793,746,379,918,1984,705,714,488,930,893,230,1384,12164,12164,TRUE,+12164,,538727,
1980,198013,1052,+,+CVC T.O. #3 to River,CVC T.O. #3 to River,AF,CVC T.O. #3 to River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,+0,,538727,
1980,198014,1054,+,+Friant-Kern Inflow,Friant-Kern Inflow,AF,Friant-Kern Inflow,0,0,0,0,0,4458,0,0,0,0,0,0,4458,4458,TRUE,+4458,,543185,
1980,198015,1060,-,-River Canal from River,River Canal Diversion,AF,River Canal from River,0,1569,11932,10048,0,16201,32283,30196,12196,24540,14769,220,153954,153954,TRUE,-153954,,389231,
1980,198016,2003,-,-River Loss: Cally. Weir to River Canal Weir,River Loss: Cally. Weir to River Canal Weir,AF,River Loss: Cally. Weir to River Canal Weir,5972,4774,4144,4334,4360,4103,2959,2755,3588,4278,3044,1888,46199,46199,TRUE,-46199,,343032,TRUE
1980,198017,1070,=,=River Canal Weir,Flow at Coffee Rd,AF,River Canal Weir,7202,10243,43434,56310,56354,56304,51911,32243,17842,9644,1545,0,343032,343032,TRUE,=343032,TRUE,343032,
1980,198018,,+,+Pioneer Turnout,Pioneer Turnout,AF,Pioneer Turnout,6546,3929,5232,9840,10284,5414,6042,3862,8465,7351,9638,428,77031,77031,TRUE,+77031,,420063,
1980,198019,1071,+,+CVC T.O. #2 to River,CVC T.O. #2 to River,AF,CVC T.O. #2 to River,0,0,0,0,0,0,0,0,0,0,0,1637,1637,1637,TRUE,+1637,,421700,
1980,198020,1073,-,-Rosedale Channel at Head,Rosedale Channel Diversion,AF,Rosedale Channel at Head,3408,3084,6434,7537,9255,9790,10984,11469,7884,361,0,91,70297,70297,TRUE,-70297,,351403,
1980,198021,1072,-,-Pioneer Canal at Head,Pioneer Canal at Head,AF,Pioneer Canal at Head,1357,3300,3376,3550,4328,5589,9110,9598,4544,1206,0,0,45958,45958,TRUE,-45958,,305445,
1980,198022,2004,-,-River Loss: River Canal to Bellevue Weir,River Loss: River Canal to Bellevue Weir,AF,River Loss: River Canal to Bellevue Weir,1815,1373,1489,1769,1351,1267,917,874,1147,1486,742,0,14230,14230,TRUE,-14230,,291215,TRUE
1980,198023,1080,=,=Flow at Bellevue Weir Stockdale,Flow at Riverwalk Park Bridge,AF,Flow at Bellevue Weir Stockdale,7168,6415,37367,53294,51704,45072,36942,14164,12732,13942,10441,1974,291215,291215,TRUE,=291215,TRUE,291215,
1980,198024,,+,+CVC T.O. #1 to River,CVC T.O. #1 to River,AF,CVC T.O. #1 to River,0,0,0,0,0,0,0,0,0,0,0,6172,6172,6172,TRUE,+6172,,297387,
1980,198025,,+,+Pioneer Flow to River,Pioneer Flow to River,AF,Pioneer Flow to River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,+0,,297387,
1980,198026,,-,-2800 Acre Percolation and Spreading,2800 Acre Percolation and Spreading,AF,2800 Acre Percolation and Spreading,7051,6375,15547,13349,10232,9615,6238,12732,11157,12066,8900,8146,121408,121408,TRUE,-121408,,175979,TRUE
1980,198027,1091,=,=Second Point via Kern River Channel,Second Point via Kern River Channel,AF,Second Point via Kern River Channel,117,40,21820,39945,41472,35457,30704,1432,1575,1876,1541,0,175979,175979,TRUE,=175979,TRUE,175979,
1981,198101,1001,+,+Kern River at First Point of Measurement,Flow at Hart Park First Point,AF,Kern River at First Point of Measurement,25482,27013,40594,41768,46348,78405,80906,51310,14315,14324,18426,21578,460469,460469,TRUE,+460469,,+460469,
1981,198102,2001,-,-Computed Loss,Computed Loss,AF,Computed Loss,676,611,676,655,676,655,676,676,655,676,655,676,7963,7963,TRUE,-7963,,452506,
1981,198103,1010,-,-Beardsley Canal at Head,Beardsley Diversion,AF,Beardsley Canal at Head,8694,11792,14773,15647,21436,27281,29334,19704,4219,6819,14106,11972,185777,185777,TRUE,-185777,,266729,
1981,198104,1020,-,-Carrier Canal at Head,Carrier Diversion,AF,Carrier Canal at Head,16112,14610,25145,25466,24236,50469,50896,30930,9441,6829,3665,8930,266729,266729,TRUE,-266729,,0,TRUE
1981,198105,1030,=,=Rocky Point Weir,Flow at PVP,AF,Rocky Point Weir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,=0,TRUE,0,
1981,198106,1031,+,+Carrier Waste Gate,Carrier Waste Gate,AF,Carrier Waste Gate,101,40,0,12,0,0,0,0,0,44,522,222,941,941,TRUE,+941,,941,
1981,198107,1032,+,+Farmers-Stine-Anderson: to River,Farmers-Stine-Anderson: to River,AF,Farmers-Stine-Anderson: to River,2567,0,1370,2584,3491,0,0,0,0,50,0,0,10062,10062,TRUE,+10062,,11003,
1981,198108,1033,-,-Farmers-Stine-Anderson: from River,Farmers-Stine-Anderson: from River,AF,Farmers-Stine-Anderson: from River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,-0,,11003,
1981,198109,1040,-,-Calloway Canal at Head,Calloway Diversion,AF,Calloway Canal at Head,1716,0,1226,2366,3237,0,0,0,0,0,0,0,8545,8545,TRUE,-8545,,2458,
1981,198110,2002,-,-River Loss: Rocky Point to Calloway Weir,River Loss: Rocky Point to Calloway Weir,AF,River Loss: Rocky Point to Calloway Weir,363,40,144,230,254,0,0,0,0,94,522,222,1869,1869,TRUE,-1869,,589,TRUE
1981,198111,1050,=,=Calloway River Weir,Flow at Riverview Park,AF,Calloway River Weir,589,0,0,0,0,0,0,0,0,0,0,0,589,589,TRUE,=589,TRUE,589,
1981,198112,1051,+,+CVC T.O. #4 to River,CVC T.O. #4 to River,AF,CVC T.O. #4 to River,3570,2680,2503,1085,155,48,0,0,1821,5181,4420,3131,24594,24594,TRUE,+24594,,25183,
1981,198113,1052,+,+CVC T.O. #3 to River,CVC T.O. #3 to River,AF,CVC T.O. #3 to River,34,1934,3036,809,3324,2148,3521,3522,3114,5360,4280,2553,33635,33635,TRUE,+33635,,58818,
1981,198114,1054,+,+Friant-Kern Inflow,Friant-Kern Inflow,AF,Friant-Kern Inflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,+0,,58818,
1981,198115,1060,-,-River Canal from River,River Canal Diversion,AF,River Canal from River,799,663,1089,6,1283,1476,2922,2354,254,22,885,0,11753,11753,TRUE,-11753,,47065,
1981,198116,2003,-,-River Loss: Cally. Weir to River Canal Weir,River Loss: Cally. Weir to River Canal Weir,AF,River Loss: Cally. Weir to River Canal Weir,2999,3921,3401,1872,1990,655,599,706,4661,8583,6559,4865,40811,40811,TRUE,-40811,,6254,TRUE
1981,198117,1070,=,=River Canal Weir,Flow at Coffee Rd,AF,River Canal Weir,395,30,1049,16,206,65,0,462,20,1936,1256,819,6254,6254,TRUE,=6254,TRUE,6254,
1981,198118,,+,+Pioneer Turnout,Pioneer Turnout,AF,Pioneer Turnout,799,783,1107,1111,278,196,0,146,60,6,478,60,5024,5024,TRUE,+5024,,11278,
1981,198119,1071,+,+CVC T.O. #2 to River,CVC T.O. #2 to River,AF,CVC T.O. #2 to River,1111,420,2641,171,115,0,0,44,1092,2054,925,719,9292,9292,TRUE,+9292,,20570,
1981,198120,1073,-,-Rosedale Channel at Head,Rosedale Channel Diversion,AF,Rosedale Channel at Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,-0,,20570,
1981,198121,1072,-,-Pioneer Canal at Head,Pioneer Canal at Head,AF,Pioneer Canal at Head,244,58,2832,321,0,0,0,0,0,0,0,0,3455,3455,TRUE,-3455,,17115,
1981,198122,2004,-,-River Loss: River Canal to Bellevue Weir,River Loss: River Canal to Bellevue Weir,AF,River Loss: River Canal to Bellevue Weir,625,471,1094,187,399,146,0,652,652,2284,1987,1207,9704,9704,TRUE,-9704,,7411,TRUE
1981,198123,1080,=,=Flow at Bellevue Weir Stockdale,Flow at Riverwalk Park Bridge,AF,Flow at Bellevue Weir Stockdale,1436,704,871,790,200,115,0,0,520,1712,672,391,7411,7411,TRUE,=7411,TRUE,7411,
1981,198124,,+,+CVC T.O. #1 to River,CVC T.O. #1 to River,AF,CVC T.O. #1 to River,3188,0,2181,1429,0,0,0,2053,9949,13850,10403,8657,51710,51710,TRUE,+51710,,59121,
1981,198125,,+,+Pioneer Flow to River,Pioneer Flow to River,AF,Pioneer Flow to River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,+0,,59121,
1981,198126,,-,-2800 Acre Percolation and Spreading,2800 Acre Percolation and Spreading,AF,2800 Acre Percolation and Spreading,4624,704,3052,2219,200,115,0,2053,10469,15562,11075,9048,59121,59121,TRUE,-59121,,0,TRUE
1981,198127,1091,=,=Second Point via Kern River Channel,Second Point via Kern River Channel,AF,Second Point via Kern River Channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,=0,TRUE,0,
1982,198201,1001,+,+Kern River at First Point of Measurement,Flow at Hart Park First Point,AF,Kern River at First Point of Measurement,30363,43374,49110,57060,86469,155508,166492,156341,88411,104122,101403,82435,1121088,1121088,TRUE,+1121088,,+1121088,
1982,198202,2001,-,-Computed Loss,Computed Loss,AF,Computed Loss,676,611,676,655,676,655,676,676,655,676,655,676,7963,7963,TRUE,-7963,,1113125,
1982,198203,1010,-,-Beardsley Canal at Head,Beardsley Diversion,AF,Beardsley Canal at Head,6841,17159,15707,22080,33505,35157,43023,42748,22727,18752,16284,11367,285350,285350,TRUE,-285350,,827775,
1982,198204,1020,-,-Carrier Canal at Head,Carrier Diversion,AF,Carrier Canal at Head,22846,25604,32727,34169,31567,43085,43795,42315,21183,36149,41559,39108,414107,414107,TRUE,-414107,,413668,FALSE
1982,198205,1030,=,=Rocky Point Weir,Flow at PVP,AF,Rocky Point Weir,184,0,0,156,20721,76611,78998,70602,43846,48545,42905,31284,413852,413852,TRUE,=413852,TRUE,413668,
1982,198206,1031,+,+Carrier Waste Gate,Carrier Waste Gate,AF,Carrier Waste Gate,184,0,0,954,0,0,0,0,912,15370,19168,17079,53667,53667,TRUE,+53667,,467335,
1982,198207,1032,+,+Farmers-Stine-Anderson: to River,Farmers-Stine-Anderson: to River,AF,Farmers-Stine-Anderson: to River,7170,1730,788,8785,2626,0,0,0,4955,4794,7454,9062,47364,47364,TRUE,+47364,,514699,
1982,198208,1033,-,-Farmers-Stine-Anderson: from River,Farmers-Stine-Anderson: from River,AF,Farmers-Stine-Anderson: from River,0,0,0,0,7999,13214,16201,14521,1791,28,206,7059,61019,61019,TRUE,-61019,,453680,
1982,198209,1040,-,-Calloway Canal at Head,Calloway Diversion,AF,Calloway Canal at Head,6853,1649,686,4435,9961,17998,25208,25755,18900,21445,18375,15899,167164,167164,TRUE,-167164,,286516,
1982,198210,2002,-,-River Loss: Rocky Point to Calloway Weir,River Loss: Rocky Point to Calloway Weir,AF,River Loss: Rocky Point to Calloway Weir,685,81,58,1287,1823,1207,809,908,920,843,637,524,9782,9782,TRUE,-9782,,276734,FALSE
1982,198211,1050,=,=Calloway River Weir,Flow at Riverview Park,AF,Calloway River Weir,0,0,44,4173,3564,44192,36780,29418,28102,46393,50309,33943,276918,276918,TRUE,=276918,TRUE,276734,
1982,198212,1051,+,+CVC T.O. #4 to River,CVC T.O. #4 to River,AF,CVC T.O. #4 to River,44,0,0,0,0,0,0,0,40,51,0,24,159,159,TRUE,+159,,276893,
1982,198213,1052,+,+CVC T.O. #3 to River,CVC T.O. #3 to River,AF,CVC T.O. #3 to River,0,0,798,0,0,444,712,860,1085,1266,1018,1033,7216,7216,TRUE,+7216,,284109,
1982,198214,1054,+,+Friant-Kern Inflow,Friant-Kern Inflow,AF,Friant-Kern Inflow,2041,8980,3787,47562,53207,10190,5209,0,0,0,0,1825,132801,132801,TRUE,+132801,,416910,
1982,198215,1060,-,-River Canal from River,River Canal Diversion,AF,River Canal from River,1964,8557,2705,18845,27465,26264,25874,19841,7908,12104,13375,3406,168308,168308,TRUE,-168308,,248602,
1982,198216,2003,-,-River Loss: Cally. Weir to River Canal Weir,River Loss: Cally. Weir to River Canal Weir,AF,River Loss: Cally. Weir to River Canal Weir,121,423,628,5473,2769,3836,4086,4035,4999,5132,3870,3205,38577,38577,TRUE,-38577,,210025,FALSE
1982,198217,1070,=,=River Canal Weir,Flow at Coffee Rd,AF,River Canal Weir,0,0,1296,27417,26537,24726,12741,6402,16320,30474,34082,30214,210209,210209,TRUE,=210209,TRUE,210025,
1982,198218,,+,+Pioneer Turnout,Pioneer Turnout,AF,Pioneer Turnout,2478,9937,10449,6099,7285,3493,3505,4001,1418,1184,1527,1813,53189,53189,TRUE,+53189,,263214,
1982,198219,1071,+,+CVC T.O. #2 to River,CVC T.O. #2 to River,AF,CVC T.O. #2 to River,0,1687,3434,64,0,0,2359,4619,1590,0,0,1400,15153,15153,TRUE,+15153,,278367,
1982,198220,1073,-,-Rosedale Channel at Head,Rosedale Channel Diversion,AF,Rosedale Channel at Head,1699,6718,6617,12270,11231,9007,3503,0,5681,12196,10013,9429,88364,88364,TRUE,-88364,,190003,
1982,198221,1072,-,-Pioneer Canal at Head,Pioneer Canal at Head,AF,Pioneer Canal at Head,141,4673,3665,3084,5333,5722,7394,7807,3832,2709,3527,3533,51420,51420,TRUE,-51420,,138583,
1982,198222,2004,-,-River Loss: River Canal to Bellevue Weir,River Loss: River Canal to Bellevue Weir,AF,River Loss: River Canal to Bellevue Weir,273,188,555,2274,1914,1484,1342,1152,1728,1684,1261,1041,14896,14896,TRUE,-14896,,123687,FALSE
1982,198223,1080,=,=Flow at Bellevue Weir Stockdale,Flow at Riverwalk Park Bridge,AF,Flow at Bellevue Weir Stockdale,365,45,4342,15952,15344,12006,6366,6063,8087,15069,20808,19424,123871,123871,TRUE,=123871,TRUE,123687,
1982,198224,,+,+CVC T.O. #1 to River,CVC T.O. #1 to River,AF,CVC T.O. #1 to River,0,0,0,0,0,0,5131,8105,2772,0,0,268,16276,16276,TRUE,+16276,,139963,
1982,198225,,+,+Pioneer Flow to River,Pioneer Flow to River,AF,Pioneer Flow to River,0,0,125,474,417,0,0,0,0,0,0,236,1252,1252,TRUE,+1252,,141215,
1982,198226,,-,-2800 Acre Percolation and Spreading,2800 Acre Percolation and Spreading,AF,2800 Acre Percolation and Spreading,365,45,4467,15661,13722,8718,10080,9928,9826,10112,8886,7066,98876,98876,TRUE,-98876,,42339,FALSE
1982,198227,1091,=,=Second Point via Kern River Channel,Second Point via Kern River Channel,AF,Second Point via Kern River Channel,0,0,0,765,2039,3288,1417,4240,1033,4957,11922,12862,42523,42523,TRUE,=42523,TRUE,42339,
1983,198301,1001,+,+Kern River at First Point of Measurement,Flow at Hart Park First Point,AF,Kern River at First Point of Measurement,57566,71165,152862,286605,370706,419760,387505,176194,153814,117233,97616,90549,2381575,2381575,TRUE,+2381575,,+2381575,
1983,198302,2001,-,-Computed Loss,Computed Loss,AF,Computed Loss,676,611,676,655,676,655,676,676,655,676,655,676,7963,7963,TRUE,-7963,,2373612,
1983,198303,1010,-,-Beardsley Canal at Head,Beardsley Diversion,AF,Beardsley Canal at Head,9289,8983,8696,26600,33796,40586,44313,35564,27435,19627,14660,7910,277459,277459,TRUE,-277459,,2096153,
1983,198304,1020,-,-Carrier Canal at Head,Carrier Diversion,AF,Carrier Canal at Head,38658,25216,36994,42006,47615,48456,49442,45919,29129,18300,9748,10187,401670,401670,TRUE,-401670,,1694483,TRUE
1983,198305,1030,=,=Rocky Point Weir,Flow at PVP,AF,Rocky Point Weir,8943,36355,106496,217344,288619,330063,293074,94035,96595,78630,72553,71776,1694483,1694483,TRUE,=1694483,TRUE,1694483,
1983,198306,1031,+,+Carrier Waste Gate,Carrier Waste Gate,AF,Carrier Waste Gate,13997,8214,13093,6246,1688,0,0,0,0,0,0,472,43710,43710,TRUE,+43710,,1738193,
1983,198307,1032,+,+Farmers-Stine-Anderson: to River,Farmers-Stine-Anderson: to River,AF,Farmers-Stine-Anderson: to River,13341,2394,2418,0,0,0,0,0,0,0,0,0,18153,18153,TRUE,+18153,,1756346,
1983,198308,1033,-,-Farmers-Stine-Anderson: from River,Farmers-Stine-Anderson: from River,AF,Farmers-Stine-Anderson: from River,0,93,11141,7783,0,0,0,14400,18113,17708,18127,18428,105793,105793,TRUE,-105793,,1650553,
1983,198309,1040,-,-Calloway Canal at Head,Calloway Diversion,AF,Calloway Canal at Head,13166,11236,13664,5464,11921,23338,21271,18096,19281,19134,14721,14172,185464,185464,TRUE,-185464,,1465089,
1983,198310,2002,-,-River Loss: Rocky Point to Calloway Weir,River Loss: Rocky Point to Calloway Weir,AF,River Loss: Rocky Point to Calloway Weir,159,378,550,615,871,1023,625,286,419,316,218,209,5669,5669,TRUE,-5669,,1459420,TRUE
1983,198311,1050,=,=Calloway River Weir,Flow at Riverview Park,AF,Calloway River Weir,22956,35256,96652,209728,277515,305702,271178,61253,58782,41472,39487,39439,1459420,1459420,TRUE,=1459420,TRUE,1459420,
1983,198312,1051,,+CVC T.O. #4 to River,CVC T.O. #4 to River,AF,CVC T.O. #4 to River,0,222,1133,-252,-2902,-3927,-3935,748,1275,1601,2106,2465,-1466,-1466,TRUE,-1466,,1457954,
1983,198313,1052,,+CVC T.O. #3 to River,CVC T.O. #3 to River,AF,CVC T.O. #3 to River,333,0,124,0,-212,-295,-228,-46,-156,-55,-55,-51,-641,-641,TRUE,-641,,1457313,
1983,198314,1054,+,+Friant-Kern Inflow,Friant-Kern Inflow,AF,Friant-Kern Inflow,45714,75241,17132,0,0,0,0,0,0,0,0,1038,139125,139125,TRUE,+139125,,1596438,
1983,198315,1060,-,-River Canal from River,River Canal Diversion,AF,River Canal from River,0,34629,18347,18341,31307,47435,39112,8055,5190,5113,0,0,207529,207529,TRUE,-207529,,1388909,
1983,198316,2003,-,-River Loss: Cally. Weir to River Canal Weir,River Loss: Cally. Weir to River Canal Weir,AF,River Loss: Cally. Weir to River Canal Weir,1242,2989,3640,4114,6046,6940,5401,2310,3620,3513,2628,2585,45028,45028,TRUE,-45028,,1343881,TRUE
1983,198317,1070,=,=River Canal Weir,Flow at Coffee Rd,AF,River Canal Weir,67761,73101,93054,187021,237048,247105,222502,51590,51091,34392,38910,40306,1343881,1343881,TRUE,=1343881,TRUE,1343881,
1983,198318,,+,+Pioneer Turnout,Pioneer Turnout,AF,Pioneer Turnout,0,3177,3243,2358,2737,4229,3302,820,1628,5629,2493,4379,33995,33995,TRUE,+33995,,1377876,
1983,198319,1071,+,+CVC T.O. #2 to River,CVC T.O. #2 to River,AF,CVC T.O. #2 to River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,+0,,1377876,
1983,198320,1073,-,-Rosedale Channel at Head,Rosedale Channel Diversion,AF,Rosedale Channel at Head,8987,7737,9328,11774,14080,15327,14154,10320,10606,9626,9301,7275,128515,128515,TRUE,-128515,,1249361,
1983,198321,1072,-,-Pioneer Canal at Head,Pioneer Canal at Head,AF,Pioneer Canal at Head,4643,4606,4774,6855,11603,13420,13978,8695,10219,6282,3610,3961,92646,92646,TRUE,-92646,,1156715,
